Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,16,60,0,2,1,.0038058801880391,.1703066580853321,0,.0020000001,.0112,.00020000001,1,0,6.33416530148028
0,17,60,0,13,29.799999,.9403948764097898,2.415259392029478,564.40002,.65859997,.001,.00080000004,1,0,6.33416530148028
0,18,60,0,4.6,2.4000001,.0022181467173326,.4830083520434537,25.4,.1134,.00020000001,0,1,0,6.33416530148028
0,20,60,0,0,0,0,.0919527861915431,24.4,.025600001,.0034,0,1,0,6.33416530148028
0,21,60,0,0,,.9217945663043303,.2357057792270718,,0,.3612,.0178,1,0,6.33416530148028
0,22,60,0,11.4,14.8,.1768088298180276,1.663013419389354,276.79999,.86859995,.0012000001,.0016000001,1,0,6.33416530148028
0,23,60,0,5.8,8.1999998,.0145986206057638,.8093481415725117,146.60001,.2306,.0040000002,.0016000001,1,0,6.33416530148028
0,24,60,0,4.4,5.5999999,.0170581773937804,.3081539568334398,3.4000001,.0612,.00080000004,.00020000001,1,0,6.33416530148028
0,25,60,0,17.2,55.400002,2.129066530093344,3.901675245082718,886,.8962,.075800002,.0040000002,1,0,6.33416530148028
0,26,60,0,1,2,0,,6.1999998,.023600001,0,0,1,0,6.33416530148028
0,28,60,0,0,0,.0104023776308458,.2580731054851604,,0,.00020000001,.00020000001,1,0,6.33416530148028
0,29,60,0,0,0,0,,76.599998,.20439999,0,0,1,0,6.33416530148028
0,30,60,0,0,0,0,,,0,0,0,1,0,6.33416530148028
0,32,60,0,9,3.8,.3993168974094237,1.812378269085281,265.79999,.72979999,.078199998,.0142,1,0,6.33416530148028
0,33,60,0,14.2,69.199997,2.743546453462646,6.114335315086143,112.4,.1124,0,0,1,0,6.33416530148028
0,34,60,0,4.4,6.5999999,.0447360280894808,1.632439016195613,74.199997,.26499999,.00040000002,.00020000001,1,0,6.33416530148028
0,35,60,0,0,0,0,5.406178488523858,,0,.025,0,1,0,6.33416530148028
0,36,60,0,2,3.4000001,.0061406394940846,.3683361307650063,128.2,.12819999,.00040000002,0,1,0,6.33416530148028
0,37,60,0,11,81.199997,3.551046690647928,4.341455887657038,398.60001,.4278,.4578,.0504,1,0,6.33416530148028
0,38,60,0,4.6,7.5999999,.2024746096123488,.7300763526057439,239.2,.2392,.0058000004,.00020000001,1,0,6.33416530148028
0,39,60,0,7.6,23.200001,.4777468497684453,1.647926840339137,375.20001,.3752,.094800003,.0080000004,1,0,6.33416530148028
0,40,60,0,0,2,0,,1,.001,.001,.00020000001,1,0,6.33416530148028
0,41,60,0,0,0,0,,,0,0,0,1,0,6.33416530148028
0,42,60,0,5,10,0,,16,.016000001,.00020000001,0,1,0,6.33416530148028
0,44,60,0,0,0,0,,3,.003,.0013333333,.0020000001,1,0,6.33416530148028
0,45,60,0,.8,2.8,.0313780119050612,.4074060683716315,35.599998,.0396,.0012000001,.0016000001,1,0,6.33416530148028
0,46,60,0,2.2,4.1999998,.0275388956917279,.9873691869824605,140.2,.62699997,0,0,1,0,6.33416530148028
0,47,60,0,0,0,0,,25.4,.0254,.00020000001,0,1,0,6.33416530148028
0,48,60,0,7.2,11.4,.2339884356033066,1.858781451206239,749.20001,.74919999,.0048000002,.00080000004,1,0,6.33416530148028
0,49,60,0,3.2,7.5999999,.0198808539703557,.8575225687313126,101,.2406,.00020000001,0,1,0,6.33416530148028
0,50,60,0,0,0,0,.276043073141324,22.4,.022399999,0,0,1,0,6.33416530148028
0,53,60,0,0,0,0,,,0,0,0,1,0,6.33416530148028
0,56,60,0,14.2,49.799999,2.698354961693065,3.716049132594279,1324.8,2.0316,.031200001,.0054000001,1,0,6.33416530148028
0,1,61,0,0,,0,.01081081081,,0,0,0,1,0,16.23090911040471
0,2,61,0,17.8,113.6,3.995153430076245,9.380106347614529,600.79999,.60079998,.5104,.045200001,1,0,16.23090911040471
0,3,61,0,1.8,8.1999998,.2084340362199946,.6776631627813469,205.8,.2058,.001,.0022,1,0,16.23090911040471
0,4,61,0,5.8,3.2,.0077013884852985,1.012784488482297,13.8,.096799999,.00060000003,0,1,0,16.23090911040471
0,5,61,0,4.8,11.8,.0134050653150126,1.861277074950413,177.8,.77600002,.0064000003,.0016000001,1,0,16.23090911040471
0,7,61,0,3,5.8000002,.0877129120557385,.9012718029765981,117.4,.1174,.0064000003,.0016000001,1,0,16.23090911040471
0,11,61,0,0,,0,.7918526782809724,,0,.00050000002,0,1,0,16.23090911040471
0,12,61,1,15,67.400002,.9762410566316767,8.881740568661703,594.40002,.80259997,4.6464,.1728,1,1,16.23090911040471
0,13,61,0,9.4,90.800003,.9067531306593506,6.068737245557728,367.60001,.42899999,1.7534,.091400005,1,0,16.23090911040471
0,15,61,0,0,,0,,163.2,.16319999,.1044,.0098000001,1,0,16.23090911040471
0,16,61,0,5.4,28.200001,.5365726408882002,1.291678550544829,508.39999,.50840002,.27560002,.030400001,1,0,16.23090911040471
0,17,61,0,7.4,8.8000002,.0026790218838799,2.58879542408091,787.59998,.78780001,.025799999,.0032000002,1,0,16.23090911040471
0,18,61,0,9.199999999999999,9.8000002,.1016648546005572,1.586037083811975,119.8,.1442,.0012000001,.0012000001,1,0,16.23090911040471
0,20,61,0,7.6,16.6,.3035559349877973,1.776144119552171,352.39999,.44579998,.015800001,.00040000002,1,0,16.23090911040471
0,21,61,1,12.2,70.199997,3.637745739466113,5.36750192360245,420.39999,.42039999,2.3408,.080400005,1,1,16.23090911040471
0,22,61,0,13.8,21.6,.1461711181756558,3.121600654635827,646.59998,1.3742,.0064000003,.0016000001,1,0,16.23090911040471
0,23,61,1,14.4,29.200001,.5685053608615893,3.687411607526819,546.20001,.73340005,.0144,.0016000001,1,1,16.23090911040471
0,24,61,0,0,,0,,0,.0065000001,.003,0,1,0,16.23090911040471
0,25,61,0,11,50.799999,.9043796563327682,4.429322780776781,593.40002,.59380001,.1912,.0176,1,0,16.23090911040471
0,26,61,0,18.4,75.800003,1.800671583338008,7.075214448567337,,0,0,0,1,0,16.23090911040471
0,27,61,0,1,0,.0034092493961367,.0858033172831546,0,.001,.0015,.0020000001,1,0,16.23090911040471
0,28,61,0,1.8,3.5999999,.0022728329307578,.3954561108285217,120.4,.1204,.0012000001,.00040000002,1,0,16.23090911040471
0,29,61,0,3.6,3,.0053032768384348,.9520913509523439,217.39999,.28079998,.00060000003,0,1,0,16.23090911040471
0,30,61,0,.6666666666666666,6,0,,18.5,.0185,0,0,1,0,16.23090911040471
0,31,61,0,0,,0,,75,.075000003,.57779998,.0308,1,0,16.23090911040471
0,32,61,0,15.2,26.799999,.1208254539851225,3.301036515686035,255.2,.65059996,.2712,.026000001,1,0,16.23090911040471
0,33,61,0,0,6,.1003713953983655,.1975874826563836,,0,0,0,1,0,16.23090911040471
0,34,61,0,2.2,2.4000001,.0416088852701031,.5232082122144539,100.8,.1058,.001,.00060000003,1,0,16.23090911040471
0,35,61,0,4.8,50,.3016532037323881,3.286486749159312,459.20001,.45920002,.1286,.0066,1,0,16.23090911040471
0,36,61,0,3.4,4.5999999,0,.612416416161412,243.60001,.27760002,.0018,0,1,0,16.23090911040471
0,37,61,1,12,69.599998,2.036707340325024,6.616156929683491,285.60001,.32660002,3.4836001,.1428,1,1,16.23090911040471
0,38,61,0,3.2,6.5999999,.0474314857315089,.9667562895749732,310,.31,.011600001,.0035999999,1,0,16.23090911040471
0,39,61,0,8.800000000000001,23.4,.2785452199241318,2.218301705611936,411.20001,.41120002,.2342,.012,1,0,16.23090911040471
0,41,61,0,0,,0,.0022728329307578,,0,0,0,1,0,16.23090911040471
0,42,61,0,18,49.400002,.3496644005603786,4.615906140501167,2124.8,2.1248,.012,.0012000001,1,0,16.23090911040471
0,44,61,0,4.4,8.6000004,.0024869944841946,1.434583147912995,199.8,.4876,.0064000003,.0016000001,1,0,16.23090911040471
0,45,61,0,2,4.1999998,0,.6375413506295726,57.599998,.065199994,.0064000003,.0016000001,1,0,16.23090911040471
0,46,61,0,5.5,1.5,.0086944468816783,.9561133940859385,0,.1758,0,0,1,0,16.23090911040471
0,48,61,0,1.4,6.1999998,.1537320209612877,.6858433007073254,108.8,.147,.028999999,.001,1,0,16.23090911040471
0,49,61,0,3,10,.0072935662285802,2.505493874730283,225.39999,.43920001,.00020000001,0,1,0,16.23090911040471
0,50,61,0,0,5.8000002,.0460714285545293,1.322389794838117,,0,0,0,1,0,16.23090911040471
0,55,61,0,0,,0,,122.2,.1222,0,0,1,0,16.23090911040471
0,56,61,1,16.2,55.200001,.4304897352431905,4.557215469303111,1760.8,1.7608,.19960001,.0208,1,1,16.23090911040471
0,3,62,0,3,41.200001,.5554149601209822,1.720434979713551,416.79999,.41679999,.0012000001,.0026,1,0,23.02440723562372
0,4,62,0,2.6,4.4000001,.1118230421191624,1.036428018833469,10.2,.066,.00040000002,0,1,0,23.02440723562372
1,5,62,0,9.199999999999999,14.8,.1088782131518399,2.384995350634463,354.60001,.83040005,.0174,.0078000003,1,0,23.02440723562372
0,7,62,0,14.2,33.799999,1.704851422448761,3.448730004814146,285,.285,.0174,.0078000003,1,0,23.02440723562372
0,10,62,0,3,3,.0045173730574789,.3603422018108607,58.599998,.058599997,.0035999999,0,1,0,23.02440723562372
1,12,62,0,23.6,209,7.181253176377528,15.14848125473197,795.59998,.93300003,9.3384008,.28040001,1,0,23.02440723562372
0,13,62,0,21.8,149.2,4.828670939744075,12.399272575704,579.59998,.61500001,4.8562002,.16419999,1,0,23.02440723562372
1,17,62,0,8,23.6,.5848818398280079,1.760998907054727,912.79999,.9314,.0174,.0040000002,1,0,23.02440723562372
0,18,62,0,11.8,25.799999,.3556424951389016,3.72103700463543,309.20001,.35779998,.0018,.0014,1,0,23.02440723562372
0,20,62,0,6.2,31,.2295213082536025,1.818267087249916,320.79999,.38600001,.0054000001,.0016000001,1,0,23.02440723562372
0,21,62,0,14,102.6,5.90682552560067,4.547525917451965,246.39999,.2464,1.3446,.082800001,1,0,23.02440723562372
1,22,62,0,12.6,24.200001,.1646571264846873,3.024152135904349,610.59998,1.1425999,.0174,.0078000003,1,0,23.02440723562372
1,23,62,0,18.2,51.200001,3.599481309721471,5.31879121773984,622.20001,.76679999,.025,.0092000002,1,0,23.02440723562372
0,25,62,1,13.8,87,2.595529025145478,5.160841841932049,1000.6,1.0012,.2342,.0146,1,1,23.02440723562372
0,27,62,0,13.4,23.4,.3008997624097816,3.309792312450044,131.39999,.191,.0018,.0014,1,0,23.02440723562372
0,28,62,0,3.8,23.6,.0702517592561259,1.066872219638103,254.60001,.25460002,.0018,0,1,0,23.02440723562372
0,29,62,0,3.4,2.8,.0177215114861914,.6905208315333633,211.39999,.2122,.00020000001,0,1,0,23.02440723562372
0,32,62,0,13.2,22.6,.1443918983743933,3.280272492702722,155.60001,.3152,.43820003,.041200001,1,0,23.02440723562372
0,33,62,0,0,,2.572120152286801,.3857492503132417,21.333334,.021333333,0,0,1,0,23.02440723562372
0,34,62,0,2,4.1999998,.0321985216511585,.5699842479306304,85.800003,.0858,.00080000004,.00020000001,1,0,23.02440723562372
1,35,62,0,6.8,49.599998,1.028058849376631,3.303603537897156,351,.35100001,.30879998,.0076000001,1,0,23.02440723562372
0,36,62,0,8.800000000000001,12.2,.5222130833912297,2.030015742918708,301.39999,.33160001,.0070000002,.0048000002,1,0,23.02440723562372
0,37,62,0,19.2,113,6.141191068986521,8.198772172549868,313.39999,.33239999,4.1327996,.20019999,1,0,23.02440723562372
0,38,62,0,6.4,16.200001,.3957884492285193,1.430436606573652,470.60001,.50400001,.0266,.0040000002,1,0,23.02440723562372
1,39,62,0,7.4,36.400002,.5785134223869525,3.026753511878485,583,.58420002,1.1932,.0506,1,0,23.02440723562372
0,41,62,0,1,0,.8003756298359204,.3038274540120774,18.6,.0186,0,0,1,0,23.02440723562372
0,42,62,0,21.8,55.400002,.2190486655561532,7.311871329866992,2338.3999,2.3383999,.0049999999,.00080000004,1,0,23.02440723562372
0,44,62,0,4.8,13.8,.135117601813068,1.89680167006154,183.8,.42979997,.0174,.0078000003,1,0,23.02440723562372
0,45,62,0,2.8,4,.0215313276639275,.6424500445716725,91.800003,.1008,.0174,.0078000003,1,0,23.02440723562372
0,46,62,0,0,4.6666665,0,,0,0,0,0,1,0,23.02440723562372
0,47,62,0,0,,.1194925912786261,.6358522418987556,,0,.0016000001,0,1,0,23.02440723562372
0,48,62,0,3.4,8.1999998,.299248586014987,.9703576075005234,351,.35100001,.0132,.0012000001,1,0,23.02440723562372
0,49,62,0,3.2,20,.2008676512995889,2.45313558000869,258.20001,.4122,.0026,0,1,0,23.02440723562372
0,50,62,0,2,9.6000004,2.375990612146058,2.762750579568488,9,.0089999996,0,0,1,0,23.02440723562372
0,56,62,0,14.8,41.200001,.2465471593991116,5.811789266885802,1840,1.84,.047400001,.0088,1,0,23.02440723562372
0,3,63,0,7.2,11.4,.0466295201183971,.079353444719458,,0,0,.0014,1,0,.6303147165226128
0,10,63,0,0,,0,,25,.025,.001,0,1,0,.6303147165226128
0,20,63,0,1,1.8,0,,,0,.003,.00060000003,1,0,.6303147165226128
0,23,63,0,5,7,.0114416475947595,0,,0,.001,.00040000002,1,0,.6303147165226128
0,25,63,0,0,,0,,17.6,.0176,.0018,.00060000003,1,0,.6303147165226128
0,28,63,0,0,,.6750077031516248,.3056557695529788,66.199997,.066199996,.00060000003,0,1,0,.6303147165226128
0,29,63,0,1,0,0,,,0,0,0,1,0,.6303147165226128
0,36,63,0,1,2.5999999,0,,,0,.00020000001,.00020000001,1,0,.6303147165226128
0,38,63,0,1,2.5999999,0,,,0,.0040000002,.0049999999,1,0,.6303147165226128
0,41,63,0,1,0,0,,268,.26800001,0,0,1,0,.6303147165226128
0,42,63,0,18.4,39.200001,.7583870092649589,3.440383943995932,1496.8,1.4968001,0,.00020000001,1,0,.6303147165226128
0,43,63,0,0,,0,,4.6666665,.0046666665,0,0,1,0,.6303147165226128
0,48,63,0,2,2.5999999,0,,,0,.0040000002,.0016000001,1,0,.6303147165226128
0,49,63,0,0,,0,.0308924485058506,,0,0,0,1,0,.6303147165226128
0,50,63,0,2.6,13.2,.8737329038535323,4.976611009860673,1401.6,1.4016,0,0,1,0,.6303147165226128
0,56,63,0,16.4,45.599998,1.634684533105095,4.03038175362854,1358,1.358,.022,.0055999998,1,0,.6303147165226128
0,3,64,1,4.4,39.200001,.6375885727586487,.9793923329936546,622,.62199998,.003,.0032000002,1,1,26.31207442120727
0,4,64,1,5.2,11.6,.180679035449649,1.249202979246333,129.8,.1832,.0012000001,.00080000004,1,1,26.31207442120727
1,5,64,1,10.8,16,.0651570574582938,1.973182033783851,1118,1.482,.0134,.0044,1,1,26.31207442120727
0,7,64,1,23,66,.6693864899983594,3.129737978687082,1722,1.722,.0134,.0044,1,1,26.31207442120727
0,10,64,0,8,19.4,.3444842588871498,2.232960631631228,1727,1.727,.010600001,.0014,1,0,26.31207442120727
0,12,64,0,26,135.2,4.575921615588959,10.27395997853281,897.59998,1.1911999,7.5327997,.2368,1,0,26.31207442120727
0,13,64,0,20.8,140.2,4.239927048156703,8.926774207741207,825.79999,.90380001,4.3913999,.1506,1,0,26.31207442120727
0,14,64,0,6,23,1.179359722781836,1.784845305759911,693.59998,.6936,.00060000003,.00020000001,1,0,26.31207442120727
0,17,64,0,23.4,77.800003,2.779047352260938,4.747457555689333,860.40002,.95140004,.0154,.0027999999,1,0,26.31207442120727
0,18,64,0,.8,1,0,.1808492520958385,61.400002,.061799999,.0012000001,.00020000001,1,0,26.31207442120727
0,20,64,0,7.6,30.799999,.5675698877448451,2.513357654516316,488.79999,.75279999,.020399999,.0016000001,1,0,26.31207442120727
0,21,64,0,21.6,134.39999,4.117882386258401,7.389049960654536,668.20001,.66820002,1.0476,.069400005,1,0,26.31207442120727
0,22,64,0,17.6,43.799999,.2025860372220281,4.399075763087613,1591.8,2.4008,.0134,.0044,1,0,26.31207442120727
1,23,64,1,19,41.799999,.9668965322989023,4.668482099404368,1184.2,1.4246,.0196,.0061999997,1,1,26.31207442120727
0,25,64,0,10.4,39.200001,1.261608182043427,2.268511405412902,1004,1.0532,.20999999,.0126,1,0,26.31207442120727
0,27,64,0,2,2.4000001,0,.3444779985758663,58.799999,.069800004,.0012000001,.00020000001,1,0,26.31207442120727
0,28,64,0,0,0,.3086580412040066,1.029462411075744,523.79999,.52380002,.0035999999,.0012000001,1,0,26.31207442120727
0,29,64,0,6.2,25.4,1.250879120659837,1.827035936788899,843.59998,.84359998,0,0,1,0,26.31207442120727
0,32,64,0,23,42,.5175174672392456,3.129052832706274,504.60001,.67019999,.2904,.025799999,1,0,26.31207442120727
0,33,64,0,0,.75,9.625770764144656,5.725122528321858,22,.022,0,0,1,0,26.31207442120727
0,34,64,0,2.8,5,.0748603727207117,.6658340454702566,367.20001,.36720002,.00060000003,0,1,0,26.31207442120727
1,35,64,0,10.2,69.599998,1.244047234924721,5.13487942000952,995.20001,.99520004,.34239998,.0080000004,1,0,26.31207442120727
0,36,64,0,8,20.799999,.681530256675299,1.221987744974546,826.59998,.82659996,.0089999996,.0058000004,1,0,26.31207442120727
0,37,64,0,28,139.39999,5.181858943035431,7.481921012103075,432.20001,.45320001,5.0452003,.2454,1,0,26.31207442120727
0,38,64,0,22.2,77.599998,1.668854190984428,5.439898411900041,2002.6,2.0026,.047400001,.0126,1,0,26.31207442120727
0,39,64,1,16.2,54.799999,.533448340373875,3.350988281103643,1398.8,1.3988,.67180002,.033199999,1,1,26.31207442120727
0,40,64,0,0,,0,,44.333332,.044333331,.0086666672,.0013333333,1,0,26.31207442120727
0,41,64,0,0,1.4,2.228144107293816,2.015664433938126,11,.011,0,0,1,0,26.31207442120727
0,42,64,0,22.4,80.599998,.1593003600688402,6.875672180293606,3318.3999,3.3183999,.010199999,.0012000001,1,0,26.31207442120727
0,43,64,0,11.6,32.799999,.9658349975167214,5.198704031989589,483.79999,.48379999,0,0,1,0,26.31207442120727
0,44,64,0,10.8,30.4,.3020719853706704,2.745068850719414,532.59998,.69659996,.0134,.0044,1,0,26.31207442120727
0,45,64,0,.5,1,0,.1414709207431616,52.5,.056249999,.0125,.0047499998,1,0,26.31207442120727
0,46,64,0,.8,1.2,0,.1811474960836232,.80000001,.0096000005,0,0,1,0,26.31207442120727
0,47,64,0,.8,2.8,0,,399,.39899999,.0034,.00020000001,1,0,26.31207442120727
0,48,64,1,8.6,21.200001,.0900100608593436,2.31939542646792,875.59998,1.125,.051400002,.0035999999,1,1,26.31207442120727
0,49,64,0,0,4,.0922089628781662,1.08608902480347,34.599998,.155,.0018,0,1,0,26.31207442120727
0,50,64,0,0,3.4000001,3.959629045074037,7.051244788370957,38.5,.0385,0,0,1,0,26.31207442120727
0,52,64,0,0,0,0,,,0,0,0,1,0,26.31207442120727
0,56,64,0,28.8,80.400002,.6173086945298381,7.62844219255523,2865.8,2.8782001,.1098,.0146,1,0,26.31207442120727
0,3,65,0,2.6,3.4000001,.0016483516478657,.9229666765747778,67.800003,.0678,.00080000004,.00020000001,1,0,28.54978135723075
0,4,65,0,4.4,4,.0383262563937283,.721416552931136,7,.0296,0,.00020000001,1,0,28.54978135723075
0,5,65,0,8.4,17,.4591462377745152,1.73705060057238,315,1.0374,.0016000001,.0022,1,0,28.54978135723075
0,7,65,0,8.199999999999999,10.8,.2191391234804018,1.203795576311036,132.60001,.13260001,.0016000001,.0022,1,0,28.54978135723075
0,10,65,0,1.4,1.8,0,.2096252061334239,119.2,.1192,.0055999998,.00080000004,1,0,28.54978135723075
0,11,65,0,1.2,1,0,,,0,0,0,1,0,28.54978135723075
0,12,65,1,16.2,85,3.677798391346579,7.984732931205141,612.59998,.84940004,4.8806,.1584,1,1,28.54978135723075
0,13,65,1,22,140.60001,4.236394292092457,8.455067661316214,416,.46900001,5.4903998,.16860001,1,1,28.54978135723075
0,14,65,0,2,2.8,0,,445.20001,.44520003,.00040000002,0,1,0,28.54978135723075
0,15,65,0,19.4,131.60001,4.175828172678596,9.527245044954663,620.59998,.62620002,.31400001,.0262,1,0,28.54978135723075
0,17,65,0,7.4,19.799999,1.031167318234695,6.961874634587645,291.60001,.30879998,.017000001,.0041999999,1,0,28.54978135723075
0,18,65,0,15.4,25.799999,.3260664342448072,3.325509267830388,135.60001,.2174,.00040000002,.00080000004,1,0,28.54978135723075
0,20,65,0,8.800000000000001,14,.2283332251386604,1.683546562002695,210.39999,.42460001,.0024000001,.00020000001,1,0,28.54978135723075
0,21,65,0,9.4,28.799999,.9799918286509501,2.698968642648232,141,.141,.29860002,.0288,1,0,28.54978135723075
0,22,65,0,13.6,24.200001,.4787588148553709,2.82357031066753,356.60001,1.3216,.0016000001,.0022,1,0,28.54978135723075
0,23,65,0,16.8,24.200001,.3819111457480614,2.66035633413602,247.2,.3362,.0080000004,.0018,1,0,28.54978135723075
0,25,65,0,17.4,107.2,3.544291804484211,8.578780226456873,1372.8,1.4002,.2656,.011,1,0,28.54978135723075
0,26,65,0,0,1,.1327236219630781,3.119231550830751,299.20001,.2992,0,0,1,0,28.54978135723075
0,27,65,0,1.8,1.2,0,,0,.025600001,.00040000002,.00080000004,1,0,28.54978135723075
0,28,65,0,1.2,0,0,,,0,.0012000001,0,1,0,28.54978135723075
0,29,65,0,2.8,2.2,.0005494505492886,.5617627769506753,150.2,.19499999,0,0,1,0,28.54978135723075
1,31,65,1,31,314.60001,22.05568309365477,17.25210441852581,1156.4,1.1564,1.462,.1054,1,1,28.54978135723075
0,32,65,0,20.8,45.200001,.4183932613347825,4.469636072675516,315,.64240003,.41679999,.039000001,1,0,28.54978135723075
0,33,65,0,2.2,0,.024409719209387,.6792609168346637,,0,0,0,1,0,28.54978135723075
0,34,65,0,4,4.8000002,.1790257833911326,.4345296710680411,41.599998,.086800002,.00060000003,.0012000001,1,0,28.54978135723075
1,35,65,0,4.4,41.799999,.196766900150237,2.573705834263524,366.20001,.3662,.19960001,.0112,1,0,28.54978135723075
0,36,65,0,4.4,6.8000002,.0022247266099802,1.314255703933434,85.800003,.094800003,.0020000001,.001,1,0,28.54978135723075
0,37,65,1,29.8,175.39999,6.109095718077181,10.72515679317191,365.39999,.37459999,5.6872001,.27739999,1,1,28.54978135723075
0,38,65,0,6.4,9.6000004,.1472179609734191,2.286497479378006,491,.491,.015600001,.0032000002,1,0,28.54978135723075
0,39,65,0,9,50.200001,1.676698070450745,1.733482223398077,313.39999,.3134,.2438,.018200001,1,0,28.54978135723075
0,41,65,0,1.75,3.5,0,.2244903322109592,,0,0,0,1,0,28.54978135723075
0,42,65,0,18.4,70.599998,.1873029454423209,3.898958336402225,1520.4,1.5204,.0052,.00060000003,1,0,28.54978135723075
0,44,65,0,6.4,8.6000004,.0068681318661073,1.161659884304346,126.4,.1762,.0016000001,.0022,1,0,28.54978135723075
0,45,65,0,1.8,2.8,.0547716656051136,.4201088514742056,39.400002,.039999999,.0016000001,.0022,1,0,28.54978135723075
0,48,65,0,8.4,20.4,0,,729,.89880002,.0099999998,.001,1,0,28.54978135723075
0,49,65,0,2.2,11,.0695295985002509,1.53405264223847,140.39999,.20439999,0,0,1,0,28.54978135723075
0,50,65,0,.2,34.599998,.1714298321797677,1.82975901374411,0,.0038000001,0,0,1,0,28.54978135723075
0,55,65,0,0,,0,,188.2,.1882,0,0,1,0,28.54978135723075
0,56,65,0,25.4,123.8,1.638989167871875,12.89793020471329,3766.6001,3.8308001,.044400003,.0078000003,1,0,28.54978135723075
0,3,66,0,3,17.4,0,1.10270270262,7.8000002,.0078000003,.00020000001,.00080000004,1,0,11.73363343036382
0,4,66,0,3,7.1999998,.3289857926459566,1.176900643749612,6,.055400003,0,.00020000001,1,0,11.73363343036382
0,5,66,0,5.6,10.4,.0522890954572816,1.325066369113925,263.20001,.4984,.0018,.0020000001,1,0,11.73363343036382
0,7,66,0,4,5.5999999,.040586557228384,1.041758468233674,36.799999,.036800001,.0018,.0020000001,1,0,11.73363343036382
