Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,FoerderungPhase1,DM_DFG_Mittel
0,55,88,0,0,0,0,,1178.8,1.1788001,0,0,1,0,17.26230090775156
0,56,88,0,9.800000000000001,32.400002,0,,98,.097999997,.0272,.0035999999,1,0,17.26230090775156
0,3,89,0,1.2,1.8,.0011441647594759,.377814792464894,181.8,.18180001,0,.0014,1,0,7.964722248677315
0,5,89,0,4,8.3999996,.0066702776766511,1.237064869655925,301.20001,.3188,.00020000001,.00040000002,1,0,7.964722248677315
0,10,89,0,4,6.3333335,.007567567567,.844324324261,244.2,.24419999,.00020000001,0,1,0,7.964722248677315
0,13,89,0,6.4,46.400002,.7965244474795978,3.155892545355747,180.2,.1802,.61680001,.0548,1,0,7.964722248677315
0,15,89,0,16.4,102.2,4.413135169705392,8.176498126281865,688,.6882,.029200001,.0035999999,1,0,7.964722248677315
0,17,89,0,6.2,26.200001,.6907151280795003,2.253538504336403,655.20001,.6552,.00080000004,.001,1,0,7.964722248677315
0,20,89,0,1,4.5999999,.1027617281826295,.3358492857172951,0,0,.00020000001,0,1,0,7.964722248677315
0,22,89,0,5,12.2,.1030054355002468,1.172792240945473,307.60001,.3242,.00020000001,.00040000002,1,0,7.964722248677315
0,23,89,0,4.4,8.3999996,.0494460919979836,.9691408074682697,150.2,.16080001,0,0,1,0,7.964722248677315
0,25,89,0,12.2,49,.7637509688665072,3.687951390118069,1085.6,1.1536,.0416,.0070000002,1,0,7.964722248677315
0,26,89,0,0,,0,,90.599998,.090999998,0,0,1,0,7.964722248677315
0,31,89,0,23.8,193.39999,9.005898606811098,12.74264361692186,692.79999,.69640005,.259,.028999999,1,0,7.964722248677315
0,32,89,0,16.6,55.799999,.5991110069524503,3.840585571244447,267.39999,.2726,.206,.032599997,1,0,7.964722248677315
0,33,89,0,0,,0,,52.75,.052749999,0,0,1,0,7.964722248677315
0,34,89,0,1.8,2,.0037185354682968,.482164055925596,12.8,.0186,0,0,1,0,7.964722248677315
0,36,89,0,1,2.8,.0102354964825071,.3703109836055271,67.199997,.086599998,.00020000001,.00040000002,1,0,7.964722248677315
0,37,89,0,13.6,73,2.247335507813526,4.889728422195501,152,.15260001,1.3694,.12980001,1,0,7.964722248677315
0,38,89,0,4.6,9.6000004,.0770002581545267,.8643117526714572,331.60001,.33160001,.00060000003,.00080000004,1,0,7.964722248677315
0,39,89,0,6.4,22.200001,.4444568911992254,1.405008334823455,290.79999,.29079998,.022200001,.0078000003,1,0,7.964722248677315
