Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,34,57,132,0,2,3.5999999,.0113076927596295,.416205294634825,96.800003,.096799999,.00080000004,.0014,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,35,57,132,0,4.4,40.799999,.5538691133607784,3.1705130029279,415,.41499999,.2088,.0032000002,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
1,35,57,132,0,5.8,61.799999,1.673475361123259,2.996091208536461,487.79999,.4878,.3964,.0071999999,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,36,57,132,0,2,8.8000002,.0528176033741611,1.129048063475373,262,.29839998,.0066,.0020000001,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,36,57,132,0,4.2,11,.3146895777586384,.7007162616512849,203.39999,.27160001,.0198,.0026,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,37,57,132,0,17.2,88.400002,4.483112216943049,7.775012653027955,404.79999,.428,5.4263997,.2138,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,37,57,132,0,18.6,115.2,7.298118645637762,6.387868320622389,418.60001,.44779998,7.8555999,.29300001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,38,57,132,0,2,10.2,.0427922080545965,.8295134667100444,321,.3644,.0184,.0018,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,38,57,132,0,3,14.6,.3929222679929456,.7948699184912306,325.79999,.3998,.075800002,.0049999999,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
1,39,57,132,0,8.199999999999999,38.200001,1.343257097431146,2.854597221589577,554.20001,.55419999,.59679997,.029999999,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,39,57,132,0,7.6,64.400002,2.479534739429021,2.715055707965468,525.79999,.52579999,1.3938,.0528,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
0,41,57,132,0,0,,.0300491758327155,0,,0,0,0,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,41,57,132,0,2,17,.6523192946323063,.0884201762737955,17,.017000001,0,0,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
1,42,57,132,0,19.8,67,.3547847038380259,6.432194691026617,1799.6,1.7996,.0049999999,.0018,1,18.59382371076132,West Germany (U),Founded before 1945 (U),0
0,42,57,132,0,23,87.400002,.6209535636250541,6.738523665658009,1533.8,1.5338,.017000001,.0024000001,2,35.51963860397759,West Germany (U),Founded before 1945 (U),0
