Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,12,75,1,11.6,45,1.116653163736993,3.583721383405614,363,.4014,2.303,.074599996,2,31.01979301262196,0
0,13,75,0,17.4,111.8,3.338582627098587,6.135280168189462,837.59998,.91059995,1.747,.075400002,1,20.35389547944164,0
0,13,75,0,18.4,152.60001,4.684518588551161,7.58118978133834,670.79999,.69740003,2.7412,.081,2,31.01979301262196,0
0,14,75,0,0,,0,,1.25,.0072499998,0,0,1,20.35389547944164,0
0,14,75,0,0,,0,,23.6,.0284,0,0,2,31.01979301262196,0
0,15,75,0,16.6,119.8,3.162763339394969,6.918525298769517,850.20001,.88480002,.1152,.012800001,1,20.35389547944164,0
0,15,75,0,12.6,146.8,6.052208283790711,7.120444372166021,564.79999,.58579999,.2018,.0196,2,31.01979301262196,0
0,16,75,0,3.2,6.8000002,.0018486721604677,.4826481287664549,0,.0063333334,.032200001,.0068000001,1,20.35389547944164,0
0,16,75,0,.4,2.5999999,.4467472253509348,.6650329050634112,8.1999998,.1338,.067400001,.0060000001,2,31.01979301262196,0
0,17,75,0,30.8,78.199997,.2800984740819647,7.167401244932114,651.79999,.75259995,.0040000002,.0020000001,1,20.35389547944164,0
0,17,75,0,9.199999999999999,28,.2484976614790236,3.535103613935335,195.8,.19780001,.021799998,.0041999999,2,31.01979301262196,0
0,18,75,0,0,,.015135135134,.001081081081,.80000001,.058400001,0,.00040000002,1,20.35389547944164,0
0,18,75,0,0,0,.0078378406166637,.4365908615603287,58.200001,.068999998,0,0,2,31.01979301262196,0
0,20,75,0,3.6,13,.1735758525913528,.9163172888046601,356.20001,.36939999,.0066,.00040000002,1,20.35389547944164,0
0,20,75,0,5.8,16.200001,.2647795092613641,1.437823559561558,317.20001,.3242,.038799997,.003,2,31.01979301262196,0
0,21,75,0,8,34.799999,1.010618874105748,2.47934907357516,472,.472,.56199998,.034200002,1,20.35389547944164,0
0,21,75,0,11.6,56,1.986804414307452,3.343375755198588,357.20001,.35720003,1.3398,.059599999,2,31.01979301262196,0
0,22,75,0,10.2,9.3999996,.114387962784707,1.725816564578843,690.20001,1.2718,.0024000001,.0022,1,20.35389547944164,0
0,22,75,0,8.199999999999999,16.799999,.1423992452588385,2.302419418388082,480.60001,.61040002,.0096000005,.0032000002,2,31.01979301262196,0
0,23,75,0,7,14.2,.2215554152288155,2.062314869237788,467.60001,.54960001,.003,.0014,1,20.35389547944164,0
0,23,75,0,6.2,19.200001,.1370631018936903,1.892116863332299,367.79999,.39820001,.0061999997,.0034,2,31.01979301262196,0
0,24,75,0,0,,0,,0,.090999998,.015600001,.00080000004,1,20.35389547944164,0
0,24,75,0,0,,0,,31,.078000002,.016000001,.001,2,31.01979301262196,0
0,25,75,0,9.6,48,1.943358980048012,4.101821755429642,528.20001,.52820003,.125,.010600001,1,20.35389547944164,0
0,25,75,0,13.4,66.400002,4.137064210329723,4.428639193228742,557,.55699998,.1816,.0178,2,31.01979301262196,0
0,26,75,0,0,0,0,.0016216216215,78.199997,.078199998,0,0,1,20.35389547944164,0
0,26,75,0,0,.25,.0731301980293951,.633344012700903,300.20001,.35579997,0,0,2,31.01979301262196,0
0,27,75,0,0,,.0050450450446667,.0234260531034037,1.2,.021600001,0,.00040000002,1,20.35389547944164,0
