Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,DM_DFG_Mittel,FoerderungPhase1
0,50,74,0,0,2.4000001,.247403654065917,.9555116328007871,,0,0,0,53.81510527864681,0
0,52,74,0,4,29.799999,.7509960845774005,2.081577702411288,81.599998,.081599995,0,0,53.81510527864681,0
0,55,74,0,25.6,170.2,7.36268726099448,9.135295023510809,2847.6001,2.8476,0,0,53.81510527864681,0
0,56,74,0,3.4,25.799999,.488100809957121,.0634732052643071,132,.132,.2924,.033799998,53.81510527864681,0
0,1,75,0,0,,1.221550468075276,5.67307908341897,,0,0,0,31.01979301262196,0
0,2,75,0,13,60,1.806989092319172,7.081686143981196,416.60001,.4404,.53979999,.0274,31.01979301262196,0
0,3,75,0,0,0,0,,20.75,.020749999,.00050000002,.001,31.01979301262196,0
0,5,75,0,6.6,9.3999996,.0442747409878286,1.501983971577251,327.60001,.4366,.0096000005,.0032000002,31.01979301262196,0
0,6,75,0,17,55.200001,.3627241076614226,4.322179788454088,557.40002,.61320001,.00020000001,0,31.01979301262196,0
0,8,75,0,15.6,139.60001,6.618742818959266,7.55398841696202,793.79999,.7938,.016000001,.0012000001,31.01979301262196,0
0,12,75,1,11.6,45,1.116653163736993,3.583721383405614,363,.4014,2.303,.074599996,31.01979301262196,0
0,13,75,0,18.4,152.60001,4.684518588551161,7.58118978133834,670.79999,.69740003,2.7412,.081,31.01979301262196,0
0,14,75,0,0,,0,,23.6,.0284,0,0,31.01979301262196,0
0,15,75,0,12.6,146.8,6.052208283790711,7.120444372166021,564.79999,.58579999,.2018,.0196,31.01979301262196,0
0,16,75,0,.4,2.5999999,.4467472253509348,.6650329050634112,8.1999998,.1338,.067400001,.0060000001,31.01979301262196,0
0,17,75,0,9.199999999999999,28,.2484976614790236,3.535103613935335,195.8,.19780001,.021799998,.0041999999,31.01979301262196,0
0,18,75,0,0,0,.0078378406166637,.4365908615603287,58.200001,.068999998,0,0,31.01979301262196,0
0,20,75,0,5.8,16.200001,.2647795092613641,1.437823559561558,317.20001,.3242,.038799997,.003,31.01979301262196,0
0,21,75,0,11.6,56,1.986804414307452,3.343375755198588,357.20001,.35720003,1.3398,.059599999,31.01979301262196,0
