Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,DM_DFG_Mittel,FoerderungPhase1
0,42,111,0,15,63.400002,.3054750386583993,3.467617201024928,970.79999,.97079998,.019200001,.00060000003,6.008544483717909,0
0,43,111,0,0,,0,0,,0,0,0,6.008544483717909,0
0,44,111,0,4.4,10.2,.0330225228319224,1.095421310475393,131,.27739999,.0049999999,.00040000002,6.008544483717909,0
0,45,111,0,0,1.4,0,.1686516787259531,39.599998,.0396,.0049999999,.00040000002,6.008544483717909,0
1,48,111,1,8.6,36.200001,1.665077696841725,3.21856585130115,486,.486,.13960001,.018200001,6.008544483717909,1
0,50,111,0,0,7,.0065657484785425,.0003145161289841,498.60001,.49860001,0,0,6.008544483717909,0
0,53,111,0,2,14.5,0,,,0,.1065,.0135,6.008544483717909,0
1,56,111,1,49.2,282.20001,6.999181891927745,13.8913242700708,3970,3.97,.773,.058200002,6.008544483717909,1
0,3,112,0,1,2.5999999,.1850194149870554,.2787616560738149,35,.035,.00040000002,.00020000001,6.166266607325809,0
0,4,112,0,2.2,.60000002,0,.3272923185546072,107.4,.1296,0,0,6.166266607325809,0
0,5,112,0,5.2,8.3999996,.0653275805559472,1.01602855542817,134.8,.40620002,.0054000001,.00060000003,6.166266607325809,0
0,7,112,0,2.25,2.5,.0280089092380173,.3122123011899861,0,.0295,.0054000001,.00060000003,6.166266607325809,0
0,10,112,0,0,,0,,25,.025,0,0,6.166266607325809,0
0,11,112,0,0,,0,,0,.02,0,0,6.166266607325809,0
0,12,112,0,15.2,108.6,3.740721515038749,7.617135200943568,598,.67299998,2.4473999,.070199996,6.166266607325809,0
0,13,112,0,5,17.799999,.4459639346589278,2.057738361824538,48.200001,.058800001,.98799998,.042199999,6.166266607325809,0
0,15,112,0,0,,0,,0,.022399999,.14660001,.0049999999,6.166266607325809,0
0,16,112,0,0,,0,,0,.022,.0099999998,.0020000001,6.166266607325809,0
0,17,112,0,10.4,21.4,.3641915710416982,2.314251451947205,298.20001,.30860001,.0138,.0012000001,6.166266607325809,0
0,18,112,0,5.2,3.4000001,.0438023520923397,.6256032979147952,25.200001,.044199999,.00040000002,.00020000001,6.166266607325809,0
0,20,112,0,5.4,20.6,.3666891122551348,1.657021974851724,255.39999,.2728,.0098000001,.0020000001,6.166266607325809,0
0,22,112,0,7.6,15.4,.2502682460529282,1.690915764341495,182.8,.62279999,.0054000001,.00060000003,6.166266607325809,0
0,23,112,0,6,10.8,.2074410512184558,1.413185555804981,111.2,.13419999,.0016000001,.001,6.166266607325809,0
0,24,112,0,1,2.5999999,0,.5176108817400561,0,.0126,.0012000001,0,6.166266607325809,0
0,25,112,0,8.800000000000001,15.6,.192394984561247,1.157333424712184,111.4,.1138,.068999998,.0027999999,6.166266607325809,0
0,26,112,0,2,26.5,0,,94.599998,.094599999,0,0,6.166266607325809,0
0,27,112,0,5.2,3.4000001,.0155610442629668,.6697911998779837,21.799999,.044,.00040000002,.00020000001,6.166266607325809,0
0,29,112,0,8,2.5999999,0,.4959393289071794,179.39999,.20660001,0,0,6.166266607325809,0
0,31,112,0,0,,0,,0,.041999999,.30379999,.0089999996,6.166266607325809,0
